1.10 (from 1.10-pre2)

Total: 2899 (+18, -24)

Additions:
	Added "entity.Donkey.name": "Donkey"
	Changed "commands.stats.entity.usage" from "/stats entity <selector> <mode>" to "/stats entity <selector> <mode> ..."
	Changed "commands.testforblock.failed.data" from "The block at %d,%d,%d had the data value of %s (expected: %s)." to "The block at %d, %d, %d had the data value of %s (expected: %s)"
	Changed "commands.testforblock.failed.nbt" from "The block at %d,%d,%d did not have the required NBT keys." to "The block at %d, %d, %d did not have the required NBT keys"
	Changed "commands.testforblock.failed.tile" from "The block at %d,%d,%d is %s (expected: %s)." to "The block at %d, %d, %d is %s (expected: %s)"
	Changed "commands.testforblock.failed.tileEntity" from "The block at %d,%d,%d is not a tile entity and cannot support tag matching." to "The block at %d, %d, %d is not a block entity and cannot support tag matching"
	Changed "commands.testforblock.success" from "Successfully found the block at %d,%d,%d." to "Successfully found the block at %d, %d, %d"
	Changed "commands.tp.usage" from "/tp [target player] <destination player> OR /tp [target player] <x> <y> <z> [<y-rot> <x-rot>]" to "/tp [target player] <destination player> OR /tp [target player] <x> <y> <z> [<yaw> <pitch>]"
	Changed "commands.worldborder.damage.usage" from "/worldborder damage <buffer|amount>" to "/worldborder damage <buffer|amount> ..."
	Changed "commands.worldborder.warning.distance.usage" from "/worldborder warning distance <blocks>" to "/worldborder warning distance <distance>"
	Changed "commands.worldborder.warning.usage" from "/worldborder warning <time|distance>" to "/worldborder warning <time|distance> ..."
	Changed "language.region" from "US" to "United States"
	Changed "multiplayer.downloadingTerrain" from "Downloading terrain" to "Loading terrain"
	Changed "structure_block.load_not_found" from "Structure '%s' is not available " to "Structure '%s' is not available"
	Changed "tile.clayHardenedStained.black.name" from "Black Stained Clay" to "Black Hardened Clay"
	Changed "tile.clayHardenedStained.blue.name" from "Blue Stained Clay" to "Blue Hardened Clay"
	Changed "tile.clayHardenedStained.brown.name" from "Brown Stained Clay" to "Brown Hardened Clay"
	Changed "tile.clayHardenedStained.cyan.name" from "Cyan Stained Clay" to "Cyan Hardened Clay"
	Changed "tile.clayHardenedStained.gray.name" from "Gray Stained Clay" to "Gray Hardened Clay"
	Changed "tile.clayHardenedStained.green.name" from "Green Stained Clay" to "Green Hardened Clay"
	Changed "tile.clayHardenedStained.lightBlue.name" from "Light Blue Stained Clay" to "Light Blue Hardened Clay"
	Changed "tile.clayHardenedStained.lime.name" from "Lime Stained Clay" to "Lime Hardened Clay"
	Changed "tile.clayHardenedStained.magenta.name" from "Magenta Stained Clay" to "Magenta Hardened Clay"
	Changed "tile.clayHardenedStained.name" from "Stained Clay" to "Stained Hardened Clay"
	Changed "tile.clayHardenedStained.orange.name" from "Orange Stained Clay" to "Orange Hardened Clay"
	Changed "tile.clayHardenedStained.pink.name" from "Pink Stained Clay" to "Pink Hardened Clay"
	Changed "tile.clayHardenedStained.purple.name" from "Purple Stained Clay" to "Purple Hardened Clay"
	Changed "tile.clayHardenedStained.red.name" from "Red Stained Clay" to "Red Hardened Clay"
	Changed "tile.clayHardenedStained.silver.name" from "Light Gray Stained Clay" to "Light Gray Hardened Clay"
	Changed "tile.clayHardenedStained.white.name" from "White Stained Clay" to "White Hardened Clay"
	Changed "tile.clayHardenedStained.yellow.name" from "Yellow Stained Clay" to "Yellow Hardened Clay"

